Row Labels,Sum of Amount spent (USD),Sum of Purchases
C089_SG_2204_MLP_Cov_Purchase-APP&SPG-story_Retargeting_IStory_apr22-app,23.99,
C038_UK_2202_APP_Cov_Purchase_Lookalike_Vid06s_mar22-pre-order-shop,0.12,
C089_SG_2204_MLP_Cov_Purchase-APP&SPG-story_Lookalike_IStory_trying-for-a-baby-spg,92.67,
Save 15% - App Bundle,33.86,
C089_SG_2204_MLP_Cov_Purchase-APP&SPG-story_Lookalike_IStory_free-lubricant-spg,16.75,
C035_SG_2202_APP_Con_Traffic_Interest_Static_baby-making-nervous-MALAY,0.03,
C089_SG_2204_MLP_Cov_Purchase-APP&SPG-story_Lookalike_IStory_apr22-app,19.85,
C030_SG_2202_APP_Cov_Purchase_Retargeting_Vid06s_feb22-169-shop,120.89,
C089_SG_2204_MLP_Cov_Purchase-APP&SPG-story_Interest_IStory_trying-for-a-baby-spg,135.16,
C030_SG_2202_APP_Cov_Purchase_Lookalike_Static_baby-making-sun-shop,0.43,
C089_SG_2204_MLP_Cov_Purchase-APP&SPG-story_Interest_IStory_free-lubricant-spg,30.13,
C108_UK_2205_MLP_Cov_AddtoCart-APP&SPG_Interest_Static_teoh-app,6.26,
Static_lessstress-app-alter,0.66,
C025_SG_2201_APP_Cov_Purchase_SPG-Bundle_Interest_Static_2-is-better-1-spg,7.04,
C132_UK_2207_MLP_Cov_Purchase-Retargeting-Only-Other-Cities-APP&SPG_Retargeting_Static_kate-price-tag-spg,42.79,
C022_SG_2201_APP_Con_Traffic_Interest_Static_male-oil,15.82,
C086_SG_2204_MLP_Cov_Purchase-APP&SPG-story_Retargeting_IStory_mar22-sq-app,0.38,
C106_UK_2205_MLP_Cov_Purchase-APP&SPG_Interest_Vid06s_want-to-start-pink-spg,12.93,
C086_SG_2204_MLP_Cov_Purchase-APP&SPG-story_Retargeting_IStory_lifestyle-10off-spg,2.38,
C106_UK_2205_MLP_Cov_Purchase-APP&SPG_Interest_Vid06s_want-to-start-blue-spg,75.67,
C086_SG_2204_MLP_Cov_Purchase-APP&SPG-story_Retargeting_IStory_free-lubricant-spg,12.03,
C106_UK_2205_MLP_Cov_Purchase-APP&SPG_Interest_Vid06s_free-lubricant-spg,0.03,
C086_SG_2204_MLP_Cov_Purchase-APP&SPG-story_Retargeting_IStory_apr22-app,31.9,
C070_UK_2204_MLP_Cov_Purchase-L5M-Converted-Cities-APP&SPG_Lookalike_Static_kate-price-tag-spg,44.91,
C131_UK_2207_MLP_Cov_Purchase-Retargeting-Only-L5M-Converted-Cities-APP&SPG_Retargeting_Vid30s_what-SPG-how-it-work-spg,2.94,
C070_UK_2204_MLP_Cov_Purchase-L5M-Converted-Cities-APP&SPG_Interest_Vid06s_free-lubricant-spg,11.22,
C086_SG_2204_MLP_Cov_Purchase-APP&SPG-story_Lookalike_IStory_mar22-sq-app,1.26,
C070_UK_2204_MLP_Cov_Purchase-L5M-Converted-Cities-APP&SPG_Interest_Static_teoh-price-tag-app,63.1,
C086_SG_2204_MLP_Cov_Purchase-APP&SPG-story_Lookalike_IStory_lifestyle-10off-spg,2.02,
C070_UK_2204_MLP_Cov_Purchase-L5M-Converted-Cities-APP&SPG_Interest_Static_finding-way-price-tag-spg,7.65,
C086_SG_2204_MLP_Cov_Purchase-APP&SPG-story_Lookalike_IStory_free-lubricant-spg,17.36,
C067_SG_2203_APP_Cov_Purchase-Story_Retargeting_IStory_baby-making-shop,33.13,
C086_SG_2204_MLP_Cov_Purchase-APP&SPG-story_Lookalike_IStory_apr22-app,13.17,
C067_SG_2203_APP_Cov_Purchase-Story_Lookalike_IStory_baby-making-shop,41.01,
Static_lessstress-app,22.1,
C067_SG_2203_APP_Cov_Purchase-Story_Interest_IStory_baby-making-shop,38.05,
C086_SG_2204_MLP_Cov_Purchase-APP&SPG-story_Interest_IStory_mar22-sq-app,3.14,
C066_SG_2203_APP_Cov_Purchase_Retargeting_Static_baby-making-sun-shop,4.05,
C086_SG_2204_MLP_Cov_Purchase-APP&SPG-story_Interest_IStory_lifestyle-10off-spg,9.13,
C066_SG_2203_APP_Cov_Purchase_Lookalike_Static_baby-making-sun-shop,2.69,
C131_UK_2207_MLP_Cov_Purchase-Retargeting-Only-L5M-Converted-Cities-APP&SPG_Retargeting_Static_kate-price-tag-spg,29.88,
C066_SG_2203_APP_Cov_Purchase_Interest_Static_baby-making-sun-shop,1.17,
C123_UK_2206_APP_Con_Traffic_Interest_Static_schedule-app,1834.09,
C119_UK_2206_MLP_Cov_Purchase-APP&SPG_Interest_Static_teoh-app,12.04,
C123_UK_2206_APP_Con_Traffic_Interest_Static_horizontal-app,526.68,
C119_UK_2206_MLP_Cov_Purchase-APP&SPG_Interest_Static_kate-spg,103.43,
C085_SG_2204_MLP_Cov_Purchase-APP&SPG_Retargeting_Vid06s_free-lubricant-spg,0.65,
C054_SG_2203_APP_Cov_Purchase-Story_Lookalike_IStory_mar22-sq-shop,80.27,
C119_UK_2206_MLP_Cov_Purchase-APP&SPG_Lookalike_Vid06s_want-to-start-pink-spg,49.07,
C054_SG_2203_APP_Cov_Purchase-Story_Interest_IStory_mar22-sq-shop,58.3,
C119_UK_2206_MLP_Cov_Purchase-APP&SPG_Lookalike_Vid06s_mid-year-sale-spg,13.56,
C118_SG_2206_MLP_Cov_Purchase-APP&SPG_Static_quiz-feb-spg,38,
C085_SG_2204_MLP_Cov_Purchase-APP&SPG_Lookalike_Vid06s_milk-spg,55.31,
C053_SG_2203_APP_Cov_Purchase_Lookalike_Vid06s_mar22-sq-shop,174.73,
C085_SG_2204_MLP_Cov_Purchase-APP&SPG_Lookalike_Vid06s_free-lubricant-spg,0.63,
C118_SG_2206_MLP_Cov_Purchase-APP&SPG_Lookalike_Vid06s_mid-year-sale-spg,86.45,
C119_UK_2206_MLP_Cov_Purchase-APP&SPG_Lookalike_Vid06s_lubricant-trying-baby-spg,3.9,
C052_UK_2203_APP_Cov_Purchase-Story_Retargeting_Vid06s_mar22-pre-order-shop,19.36,
C119_UK_2206_MLP_Cov_Purchase-APP&SPG_Lookalike_Static_teoh-app,2.66,
C052_UK_2203_APP_Cov_Purchase-Story_Lookalike_Vid06s_mar22-pre-order-shop,0.21,
C085_SG_2204_MLP_Cov_Purchase-APP&SPG_Interest_Vid06s_free-lubricant-spg,8.61,
C052_UK_2203_APP_Cov_Purchase-Story_Interest_Vid06s_mar22-pre-order-shop,67.89,
C119_UK_2206_MLP_Cov_Purchase-APP&SPG_Lookalike_Static_quiz-feb-app,1.35,
C041_UK_2202_APP_Cov_ViewContent-Story_Retargeting_Vid06s_feb22-shop,3.84,
C119_UK_2206_MLP_Cov_Purchase-APP&SPG_Lookalike_Static_kate-spg,10.61,
C040_SG_2202_APP_Cov_Purchase-Story_Retargeting_Vid06s_feb22-shop,15.96,
C083_SG_2204_APP_Con_Traffic_Interest_Static_lower-tract-app,357.17,
C040_SG_2202_APP_Cov_Purchase-Story_Lookalike_Vid06s_feb22-shop,3.27,
C083_SG_2204_APP_Con_Traffic_Interest_Static_horizontal-app,669.78,
C040_SG_2202_APP_Cov_Purchase-Story_Interest_Vid06s_feb22-shop,14.67,
Static_lessstress_mal-app-alter,150.62,
C039_UK_2202_APP_Cov_ViewContent_Retargeting_Vid06s_feb22-sq-shop,1.52,
C082_UK_2204_APP_Con_Traffic_Interest_Static_schedule-app,669.44,
C039_UK_2202_APP_Cov_ViewContent_Interest_Vid06s_feb22-sq-shop,80.44,
C082_UK_2204_APP_Con_Traffic_Interest_Static_horizontal-app,613.16,
C108_UK_2205_MLP_Cov_AddtoCart-APP&SPG_Lookalike_Vid06s_lubricant-trying-baby-spg,1.08,
C074_UK_2204_MLP_Cov_Purchase-Retargeting-Only-Other-Cities-APP&SPG_Retargeting_Vid06s_free-lubricant-spg,16.66,
C108_UK_2205_MLP_Cov_AddtoCart-APP&SPG_Lookalike_Vid06s_free-lubricant-spg,0.16,
Vid_helpcreatefamily_uk-app(voice),15.68,
C038_UK_2202_APP_Cov_Purchase_Lookalike_Vid06s_feb22-sq-shop,0.48,
C074_UK_2204_MLP_Cov_Purchase-Retargeting-Only-Other-Cities-APP&SPG_Retargeting_Static_finding-way-price-tag-spg,17.7,
C108_UK_2205_MLP_Cov_AddtoCart-APP&SPG_Lookalike_Static_teoh-app,1.54,
C073_UK_2204_SPG_Con_Traffic-Retargeting-news-only_Retargeting_Static_the-sun-app,75.61,
C108_UK_2205_MLP_Cov_AddtoCart-APP&SPG_Lookalike_Static_kate-spg,5.18,
C071_UK_2204_MLP_Cov_Purchase-L5M-Converted-Cities-APP&SPG-story_Retargeting_IStory_trying-for-a-baby-spg,2.84,
C035_SG_2202_APP_Con_Traffic_Interest_Static_baby-making-nervous-TAMIL,0,
